Input voltage [V]    Input voltage [V]     Output Voltage [V]    Maximum error [V]   Maximum error [V]   Maximum error [V]
  Wavetek 9100        Agilent 34410A         Agilent 3458A         Wavetek 9100       Agilent 34410A      Agilent 3458A 
  4.00000000          4.00060034             2.481482e-02          3.520000e-03       5.400360e-03        3.737037e-06
  4.02500000          4.02575250             2.496988e-02          3.530000e-03       5.415451e-03        3.747892e-06
  4.05000000          4.05047775             2.512407e-02          3.540000e-03       5.430287e-03        3.758685e-06
  4.07500000          4.07554602             2.527702e-02          3.550000e-03       5.445328e-03        3.769391e-06
  4.10000000          4.10077898             2.543336e-02          3.560000e-03       5.460467e-03        3.780335e-06
  4.12500000          4.12564000             2.559271e-02          3.570000e-03       5.475384e-03        3.791490e-06
  4.15000000          4.15065111             2.574550e-02          3.580000e-03       5.490391e-03        3.802185e-06
  4.17500000          4.17559054             2.589769e-02          3.590000e-03       5.505354e-03        3.812839e-06
  4.20000000          4.20050209             2.605689e-02          3.600000e-03       5.520301e-03        3.823982e-06
  4.22500000          4.22564866             2.621611e-02          3.610000e-03       5.535389e-03        3.835127e-06
  4.25000000          4.25074132             2.636636e-02          3.620000e-03       5.550445e-03        3.845645e-06
  4.27500000          4.27561477             2.651994e-02          3.630000e-03       5.565369e-03        3.856396e-06
  4.30000000          4.30078611             2.667714e-02          3.640000e-03       5.580472e-03        3.867400e-06
  4.32500000          4.32564776             2.682970e-02          3.650000e-03       5.595389e-03        3.878079e-06
  4.35000000          4.35070733             2.698338e-02          3.660000e-03       5.610424e-03        3.888836e-06
  4.37500000          4.37577991             2.714083e-02          3.670000e-03       5.625468e-03        3.899858e-06
  4.40000000          4.40066647             2.729740e-02          3.680000e-03       5.640400e-03        3.910818e-06
  4.42500000          4.42563211             2.745090e-02          3.690000e-03       5.655379e-03        3.921563e-06
  4.45000000          4.45044133             2.760806e-02          3.700000e-03       5.670265e-03        3.932564e-06
  4.47500000          4.47557672             2.775655e-02          3.710000e-03       5.685346e-03        3.942959e-06
  4.50000000          4.50080953             2.791771e-02          3.720000e-03       5.700486e-03        3.954239e-06
  4.52500000          4.52555463             2.806975e-02          3.730000e-03       5.715333e-03        3.964883e-06
  4.55000000          4.55070788             2.822450e-02          3.740000e-03       5.730425e-03        3.975715e-06
  4.57500000          4.57576132             2.838294e-02          3.750000e-03       5.745457e-03        3.986806e-06
  4.60000000          4.60060885             2.853665e-02          3.760000e-03       5.760365e-03        3.997566e-06
  4.62500000          4.62574543             2.869122e-02          3.770000e-03       5.775447e-03        4.008385e-06
  4.65000000          4.65078779             2.884825e-02          3.780000e-03       5.790473e-03        4.019377e-06
  4.67500000          4.67570055             2.899916e-02          3.790000e-03       5.805420e-03        4.029941e-06
  4.70000000          4.70078788             2.915490e-02          3.800000e-03       5.820473e-03        4.040843e-06
  4.72500000          4.72572869             2.931240e-02          3.810000e-03       5.835437e-03        4.051868e-06
  4.75000000          4.75070548             2.946890e-02          3.820000e-03       5.850423e-03        4.062823e-06
  4.77500000          4.77562505             2.962542e-02          3.830000e-03       5.865375e-03        4.073779e-06
  4.80000000          4.80067029             2.977467e-02          3.840000e-03       5.880402e-03        4.084227e-06
  4.82500000          4.82584350             2.992996e-02          3.850000e-03       5.895506e-03        4.095098e-06
  4.85000000          4.85070449             3.009073e-02          3.860000e-03       5.910423e-03        4.106351e-06
  4.87500000          4.87559851             3.024076e-02          3.870000e-03       5.925359e-03        4.116853e-06
  4.90000000          4.90080350             3.039713e-02          3.880000e-03       5.940482e-03        4.127799e-06
  4.92500000          4.92588413             3.055374e-02          3.890000e-03       5.955530e-03        4.138762e-06
  4.95000000          4.95083432             3.070644e-02          3.900000e-03       5.970501e-03        4.149451e-06
  4.97500000          4.97572077             3.085847e-02          3.910000e-03       5.985432e-03        4.160093e-06
  5.00000000          5.00067809             3.101989e-02          3.920000e-03       6.000407e-03        4.171392e-06
  5.02500000          5.02576191             3.117503e-02          3.930000e-03       6.015457e-03        4.182252e-06
  5.05000000          5.05079502             3.132935e-02          3.940000e-03       6.030477e-03        4.193054e-06
  5.07500000          5.07578380             3.148290e-02          3.950000e-03       6.045470e-03        4.203803e-06
  5.10000000          5.10073325             3.163524e-02          3.960000e-03       6.060440e-03        4.214467e-06
  5.12500000          5.12587609             3.179294e-02          3.970000e-03       6.075526e-03        4.225506e-06
  5.15000000          5.15088371             3.194737e-02          3.980000e-03       6.090530e-03        4.236316e-06
  5.17500000          5.17593622             3.210133e-02          3.990000e-03       6.105562e-03        4.247093e-06
  5.20000000          5.20095959             3.225831e-02          4.000000e-03       6.120576e-03        4.258082e-06
  5.22500000          5.22571191             3.241299e-02          4.010000e-03       6.135427e-03        4.268909e-06
  5.25000000          5.25078392             3.256872e-02          4.020000e-03       6.150470e-03        4.279810e-06
